"resp.id";"ques";"alt";"Price";"Brands";"Type";"Alcohol";"Age";"Sweetness";"label";"choice"
1;11;3;"Premium";"Cavit";"red";"12 Perc";"5+ years";"semi-dry";"No designation";1
1;11;4;"Cheap";"Mezzacorona";"sparkling";"12 Perc";"5 years";"semi-sweet";"No designation";0
1;12;1;"Cheap";"Cavit";"white";"5.5 Perc";"5 years";"semi-dry";"IGT";0
1;12;2;"Premium";"Toblino";"rose";"7 Perc";"4 years";"sweet";"No designation";0
1;12;3;"Cheap";"Mezzacorona";"rose";"12 Perc";"5 years";"sweet";"IGT";1
1;12;4;"Premium";"Mezzacorona";"white";"5.5 Perc";"2 years";"sweet";"IGT";0
1;13;1;"Premium";"Mezzacorona";"sparkling";"7 Perc";"5 years";"sweet";"DOCG";0
1;13;2;"Premium";"La-Vis";"white";"7 Perc";"1 year";"sweet";"DOC";0
1;13;3;"Premium";"Mezzacorona";"rose";"5.5 Perc";"1 year";"semi-dry";"No designation";0
1;13;4;"Popular";"La-Vis";"rose";"12 Perc";"3 years";"semi-sweet";"No designation";1
1;14;1;"Premium";"La-Vis";"red";"12 Perc";"2 years";"semi-dry";"IGT";0
1;14;2;"Cheap";"Cavit";"sparkling";"18 Perc";"1 year";"semi-sweet";"DOC";0
1;14;3;"Luxury";"Toblino";"red";"12 Perc";"5+ years";"dry";"IGT";0
1;14;4;"Popular";"La-Vis";"sparkling";"18 Perc";"2 years";"dry";"DOC";1
1;15;1;"Luxury";"Cavit";"red";"12 Perc";"4 years";"dry";"IGT";1
1;15;2;"Cheap";"Cavit";"white";"18 Perc";"3 years";"sweet";"No designation";0
1;15;3;"Popular";"La-Vis";"rose";"12 Perc";"2 years";"semi-sweet";"IGT";0
1;15;4;"Premium";"Toblino";"sparkling";"12 Perc";"2 years";"sweet";"DOCG";0
1;16;1;"Popular";"La-Vis";"white";"5.5 Perc";"1 year";"dry";"DOC";0
1;16;2;"Cheap";"Cavit";"rose";"7 Perc";"3 years";"semi-sweet";"DOC";0
1;16;3;"Popular";"Toblino";"red";"18 Perc";"3 years";"dry";"IGT";1
1;16;4;"Premium";"Cavit";"sparkling";"5.5 Perc";"3 years";"sweet";"DOCG";0
1;17;1;"Popular";"Cavit";"white";"7 Perc";"3 years";"sweet";"DOC";0
1;17;2;"Cheap";"Cavit";"red";"12 Perc";"4 years";"dry";"IGT";1
1;17;3;"Popular";"Toblino";"red";"5.5 Perc";"5 years";"semi-sweet";"DOC";0
1;17;4;"Cheap";"Toblino";"sparkling";"12 Perc";"3 years";"sweet";"DOC";0
1;18;1;"Popular";"Mezzacorona";"white";"7 Perc";"1 year";"semi-sweet";"No designation";0
1;18;2;"Luxury";"La-Vis";"white";"5.5 Perc";"1 year";"dry";"IGT";0
1;18;3;"Premium";"La-Vis";"sparkling";"18 Perc";"3 years";"semi-dry";"DOC";1
1;18;4;"Popular";"Toblino";"white";"5.5 Perc";"4 years";"sweet";"DOC";0
2;19;1;"Popular";"La-Vis";"rose";"5.5 Perc";"2 years";"sweet";"No designation";0
2;19;2;"Premium";"La-Vis";"sparkling";"18 Perc";"4 years";"semi-sweet";"DOCG";0
2;19;3;"Popular";"La-Vis";"white";"7 Perc";"5 years";"semi-sweet";"DOCG";0
2;19;4;"Cheap";"Mezzacorona";"white";"18 Perc";"2 years";"semi-sweet";"DOCG";1
2;20;1;"Luxury";"Cavit";"sparkling";"18 Perc";"3 years";"dry";"No designation";0
2;20;2;"Premium";"Mezzacorona";"sparkling";"18 Perc";"3 years";"dry";"DOCG";0
2;20;3;"Premium";"Mezzacorona";"sparkling";"18 Perc";"1 year";"semi-sweet";"DOCG";1
2;20;4;"Premium";"La-Vis";"sparkling";"18 Perc";"4 years";"semi-sweet";"DOC";0
2;21;1;"Luxury";"Cavit";"sparkling";"7 Perc";"5 years";"semi-sweet";"DOCG";0
2;21;2;"Cheap";"Toblino";"white";"18 Perc";"5 years";"sweet";"DOCG";0
2;21;3;"Popular";"Mezzacorona";"white";"18 Perc";"4 years";"sweet";"DOC";0
2;21;4;"Cheap";"Cavit";"rose";"5.5 Perc";"4 years";"semi-dry";"DOC";1
2;22;1;"Luxury";"Mezzacorona";"rose";"5.5 Perc";"1 year";"semi-sweet";"DOC";1
2;22;2;"Popular";"Toblino";"sparkling";"5.5 Perc";"1 year";"semi-sweet";"DOCG";0
2;22;3;"Luxury";"Toblino";"sparkling";"7 Perc";"2 years";"dry";"IGT";0
2;22;4;"Luxury";"La-Vis";"sparkling";"5.5 Perc";"5+ years";"semi-sweet";"IGT";0
2;23;1;"Luxury";"La-Vis";"red";"18 Perc";"5+ years";"dry";"IGT";0
2;23;2;"Cheap";"Cavit";"sparkling";"5.5 Perc";"2 years";"semi-sweet";"No designation";0
2;23;3;"Premium";"Cavit";"red";"18 Perc";"5+ years";"semi-dry";"DOCG";1
2;23;4;"Luxury";"Toblino";"sparkling";"7 Perc";"5+ years";"dry";"DOCG";0
2;24;1;"Premium";"La-Vis";"red";"18 Perc";"1 year";"semi-dry";"DOCG";1
2;24;2;"Cheap";"Toblino";"sparkling";"5.5 Perc";"5 years";"semi-sweet";"IGT";0
2;24;3;"Luxury";"La-Vis";"red";"7 Perc";"3 years";"semi-dry";"DOC";0
2;24;4;"Popular";"La-Vis";"white";"18 Perc";"5+ years";"semi-dry";"DOCG";0
2;25;1;"Luxury";"Cavit";"sparkling";"7 Perc";"4 years";"sweet";"DOC";0
2;25;2;"Cheap";"La-Vis";"red";"18 Perc";"1 year";"semi-sweet";"No designation";0
2;25;3;"Popular";"Mezzacorona";"white";"5.5 Perc";"5 years";"semi-dry";"IGT";0
2;25;4;"Popular";"Mezzacorona";"red";"12 Perc";"3 years";"semi-dry";"IGT";1
2;26;1;"Cheap";"Mezzacorona";"red";"7 Perc";"5+ years";"semi-dry";"No designation";0
2;26;2;"Luxury";"Cavit";"rose";"5.5 Perc";"1 year";"sweet";"No designation";0
2;26;3;"Premium";"Cavit";"white";"12 Perc";"4 years";"dry";"DOCG";1
2;26;4;"Popular";"Toblino";"sparkling";"5.5 Perc";"3 years";"dry";"IGT";0
2;27;1;"Popular";"Toblino";"white";"12 Perc";"3 years";"sweet";"DOCG";0
2;27;2;"Cheap";"Toblino";"rose";"18 Perc";"4 years";"semi-dry";"DOC";1
2;27;3;"Luxury";"La-Vis";"red";"12 Perc";"4 years";"semi-sweet";"DOC";0
2;27;4;"Cheap";"Toblino";"white";"5.5 Perc";"1 year";"dry";"IGT";0
2;28;1;"Luxury";"Cavit";"red";"7 Perc";"1 year";"semi-sweet";"DOCG";0
2;28;2;"Luxury";"Mezzacorona";"sparkling";"7 Perc";"5+ years";"sweet";"No designation";0
2;28;3;"Popular";"Mezzacorona";"red";"7 Perc";"4 years";"semi-dry";"No designation";0
2;28;4;"Luxury";"Mezzacorona";"white";"12 Perc";"5 years";"semi-dry";"IGT";1
2;29;1;"Cheap";"Toblino";"white";"5.5 Perc";"1 year";"sweet";"No designation";0
2;29;2;"Cheap";"La-Vis";"rose";"5.5 Perc";"2 years";"semi-sweet";"DOCG";0
2;29;3;"Cheap";"La-Vis";"sparkling";"18 Perc";"3 years";"dry";"No designation";0
2;29;4;"Cheap";"Mezzacorona";"rose";"18 Perc";"4 years";"dry";"IGT";1
2;30;1;"Luxury";"La-Vis";"red";"5.5 Perc";"1 year";"semi-sweet";"DOCG";0
2;30;2;"Luxury";"Cavit";"sparkling";"7 Perc";"1 year";"dry";"IGT";0
2;30;3;"Premium";"La-Vis";"rose";"12 Perc";"5+ years";"semi-dry";"DOCG";1
2;30;4;"Luxury";"Toblino";"red";"12 Perc";"5+ years";"semi-sweet";"IGT";0
2;31;1;"Luxury";"Cavit";"rose";"5.5 Perc";"5+ years";"sweet";"DOC";0
2;31;2;"Popular";"Toblino";"sparkling";"18 Perc";"4 years";"semi-dry";"DOCG";1
2;31;3;"Cheap";"La-Vis";"red";"18 Perc";"3 years";"sweet";"No designation";0
2;31;4;"Cheap";"Mezzacorona";"white";"12 Perc";"3 years";"sweet";"IGT";0
2;32;1;"Premium";"Cavit";"sparkling";"18 Perc";"4 years";"sweet";"IGT";0
2;32;2;"Luxury";"Mezzacorona";"sparkling";"12 Perc";"1 year";"semi-sweet";"DOCG";0
2;32;3;"Luxury";"Mezzacorona";"rose";"7 Perc";"5+ years";"semi-sweet";"No designation";0
2;32;4;"Premium";"La-Vis";"sparkling";"18 Perc";"2 years";"dry";"No designation";1
2;33;1;"Premium";"Cavit";"rose";"5.5 Perc";"4 years";"semi-sweet";"IGT";0
2;33;2;"Cheap";"Mezzacorona";"rose";"7 Perc";"5+ years";"semi-sweet";"No designation";0
2;33;3;"Cheap";"Mezzacorona";"red";"5.5 Perc";"2 years";"dry";"DOC";1
2;33;4;"Luxury";"Mezzacorona";"rose";"5.5 Perc";"5+ years";"semi-dry";"DOC";0
2;34;1;"Cheap";"Mezzacorona";"white";"12 Perc";"5 years";"sweet";"DOCG";0
2;34;2;"Luxury";"La-Vis";"white";"5.5 Perc";"1 year";"semi-sweet";"DOCG";0
2;34;3;"Popular";"Toblino";"white";"5.5 Perc";"4 years";"dry";"IGT";0
2;34;4;"Popular";"Mezzacorona";"rose";"18 Perc";"1 year";"sweet";"IGT";1
2;35;1;"Cheap";"Cavit";"red";"5.5 Perc";"5+ years";"sweet";"DOCG";0
2;35;2;"Premium";"La-Vis";"red";"18 Perc";"4 years";"semi-dry";"DOC";1
2;35;3;"Luxury";"Toblino";"rose";"7 Perc";"2 years";"dry";"DOC";0
2;35;4;"Popular";"Mezzacorona";"sparkling";"5.5 Perc";"5 years";"dry";"DOCG";0
2;36;1;"Premium";"Cavit";"rose";"7 Perc";"2 years";"dry";"No designation";0
2;36;2;"Popular";"La-Vis";"rose";"12 Perc";"5 years";"dry";"DOC";1
2;36;3;"Premium";"Toblino";"sparkling";"18 Perc";"4 years";"semi-sweet";"No designation";0
2;36;4;"Cheap";"La-Vis";"red";"12 Perc";"1 year";"sweet";"No designation";0
3;37;1;"Premium";"Mezzacorona";"sparkling";"12 Perc";"3 years";"sweet";"DOCG";0
3;37;2;"Popular";"Mezzacorona";"rose";"7 Perc";"2 years";"semi-dry";"DOCG";0
3;37;3;"Luxury";"Mezzacorona";"rose";"5.5 Perc";"3 years";"sweet";"IGT";0
3;37;4;"Cheap";"Toblino";"sparkling";"12 Perc";"5 years";"semi-dry";"DOCG";1
3;38;1;"Luxury";"La-Vis";"sparkling";"5.5 Perc";"1 year";"semi-dry";"DOC";0
3;38;2;"Popular";"La-Vis";"red";"18 Perc";"4 years";"dry";"DOC";1
3;38;3;"Luxury";"Toblino";"sparkling";"7 Perc";"2 years";"semi-dry";"IGT";0
3;38;4;"Premium";"Mezzacorona";"sparkling";"7 Perc";"2 years";"semi-sweet";"DOCG";0
3;39;1;"Cheap";"Toblino";"sparkling";"5.5 Perc";"4 years";"semi-sweet";"No designation";0
3;39;2;"Premium";"La-Vis";"white";"5.5 Perc";"4 years";"dry";"IGT";1
3;39;3;"Luxury";"La-Vis";"rose";"18 Perc";"5+ years";"semi-dry";"IGT";0
3;39;4;"Luxury";"Cavit";"rose";"7 Perc";"4 years";"semi-sweet";"DOCG";0
3;40;1;"Cheap";"Mezzacorona";"rose";"18 Perc";"3 years";"semi-dry";"DOCG";1
3;40;2;"Popular";"Toblino";"white";"7 Perc";"1 year";"semi-sweet";"No designation";0
3;40;3;"Cheap";"Toblino";"rose";"7 Perc";"5 years";"semi-sweet";"IGT";0
3;40;4;"Popular";"La-Vis";"red";"7 Perc";"2 years";"semi-sweet";"DOC";0
3;41;1;"Premium";"La-Vis";"red";"7 Perc";"3 years";"semi-sweet";"No designation";0
3;41;2;"Popular";"La-Vis";"white";"5.5 Perc";"5 years";"semi-sweet";"No designation";0
3;41;3;"Cheap";"Mezzacorona";"sparkling";"5.5 Perc";"3 years";"semi-sweet";"No designation";1
3;41;4;"Luxury";"Cavit";"rose";"5.5 Perc";"5 years";"sweet";"DOC";0
3;42;1;"Premium";"Toblino";"sparkling";"12 Perc";"5+ years";"sweet";"IGT";0
3;42;2;"Premium";"La-Vis";"sparkling";"5.5 Perc";"4 years";"semi-dry";"IGT";0
3;42;3;"Premium";"Toblino";"red";"5.5 Perc";"2 years";"semi-sweet";"IGT";0
3;42;4;"Popular";"Cavit";"white";"12 Perc";"5+ years";"sweet";"No designation";1
3;43;1;"Cheap";"Mezzacorona";"sparkling";"18 Perc";"2 years";"semi-dry";"No designation";1
3;43;2;"Luxury";"La-Vis";"sparkling";"7 Perc";"2 years";"dry";"No designation";0
3;43;3;"Luxury";"Cavit";"rose";"7 Perc";"5+ years";"sweet";"DOCG";0
3;43;4;"Popular";"Toblino";"sparkling";"7 Perc";"3 years";"dry";"DOCG";0
3;44;1;"Cheap";"La-Vis";"sparkling";"18 Perc";"5 years";"sweet";"DOC";0
3;44;2;"Cheap";"La-Vis";"white";"7 Perc";"2 years";"semi-dry";"IGT";0
3;44;3;"Luxury";"Mezzacorona";"white";"7 Perc";"5+ years";"semi-sweet";"IGT";0
3;44;4;"Premium";"Toblino";"red";"18 Perc";"2 years";"sweet";"No designation";1
3;45;1;"Premium";"La-Vis";"red";"7 Perc";"2 years";"dry";"No designation";0
3;45;2;"Premium";"Toblino";"white";"7 Perc";"1 year";"dry";"DOC";0
3;45;3;"Luxury";"Mezzacorona";"red";"5.5 Perc";"2 years";"semi-dry";"IGT";1
3;45;4;"Popular";"Mezzacorona";"rose";"7 Perc";"2 years";"dry";"No designation";0
3;46;1;"Cheap";"Cavit";"rose";"7 Perc";"4 years";"semi-dry";"IGT";1
3;46;2;"Premium";"La-Vis";"white";"7 Perc";"1 year";"sweet";"No designation";0
3;46;3;"Popular";"La-Vis";"red";"7 Perc";"5+ years";"dry";"DOCG";0
3;46;4;"Popular";"La-Vis";"rose";"5.5 Perc";"1 year";"semi-dry";"No designation";0
3;47;1;"Popular";"Cavit";"rose";"12 Perc";"5+ years";"sweet";"No designation";0
3;47;2;"Premium";"La-Vis";"sparkling";"18 Perc";"3 years";"dry";"IGT";0
3;47;3;"Luxury";"Mezzacorona";"red";"7 Perc";"5 years";"semi-dry";"IGT";1
3;47;4;"Cheap";"La-Vis";"sparkling";"5.5 Perc";"1 year";"sweet";"DOCG";0
3;48;1;"Popular";"Cavit";"sparkling";"18 Perc";"3 years";"dry";"IGT";1
3;48;2;"Luxury";"Mezzacorona";"rose";"12 Perc";"4 years";"semi-dry";"No designation";0
3;48;3;"Premium";"La-Vis";"white";"5.5 Perc";"2 years";"dry";"DOC";0
3;48;4;"Premium";"Toblino";"sparkling";"7 Perc";"5+ years";"semi-sweet";"DOCG";0
3;49;1;"Popular";"Mezzacorona";"rose";"12 Perc";"2 years";"sweet";"DOC";0
3;49;2;"Popular";"Mezzacorona";"sparkling";"12 Perc";"3 years";"sweet";"No designation";0
3;49;3;"Popular";"Cavit";"red";"5.5 Perc";"3 years";"semi-dry";"DOCG";0
3;49;4;"Luxury";"Mezzacorona";"rose";"12 Perc";"1 year";"semi-dry";"IGT";1
3;50;1;"Cheap";"Cavit";"rose";"7 Perc";"2 years";"sweet";"DOC";0
3;50;2;"Popular";"Mezzacorona";"red";"5.5 Perc";"3 years";"semi-sweet";"IGT";1
3;50;3;"Cheap";"Toblino";"rose";"18 Perc";"5+ years";"dry";"DOCG";0
3;50;4;"Luxury";"Toblino";"white";"12 Perc";"1 year";"semi-dry";"DOCG";0
3;51;1;"Luxury";"Cavit";"white";"7 Perc";"1 year";"sweet";"DOCG";0
3;51;2;"Premium";"Cavit";"white";"7 Perc";"2 years";"dry";"No designation";0
3;51;3;"Cheap";"Mezzacorona";"red";"7 Perc";"3 years";"sweet";"DOCG";1
3;51;4;"Cheap";"La-Vis";"sparkling";"7 Perc";"2 years";"sweet";"No designation";0
3;52;1;"Popular";"Mezzacorona";"sparkling";"7 Perc";"1 year";"semi-dry";"DOCG";0
3;52;2;"Popular";"Mezzacorona";"rose";"12 Perc";"5+ years";"semi-sweet";"IGT";0
3;52;3;"Premium";"Mezzacorona";"red";"5.5 Perc";"5+ years";"dry";"DOCG";1
3;52;4;"Premium";"Toblino";"white";"5.5 Perc";"2 years";"semi-dry";"DOC";0
3;53;1;"Luxury";"Toblino";"white";"12 Perc";"3 years";"dry";"IGT";0
3;53;2;"Premium";"Toblino";"rose";"5.5 Perc";"3 years";"dry";"No designation";0
3;53;3;"Premium";"Toblino";"sparkling";"18 Perc";"5 years";"semi-dry";"DOCG";0
3;53;4;"Premium";"Cavit";"sparkling";"5.5 Perc";"3 years";"semi-dry";"DOC";1
3;54;1;"Luxury";"Mezzacorona";"red";"18 Perc";"5+ years";"semi-dry";"No designation";1
3;54;2;"Cheap";"Mezzacorona";"white";"12 Perc";"2 years";"dry";"DOC";0
3;54;3;"Cheap";"La-Vis";"sparkling";"12 Perc";"5+ years";"sweet";"DOC";0
3;54;4;"Luxury";"La-Vis";"rose";"18 Perc";"5+ years";"dry";"DOC";0
4;55;1;"Premium";"Cavit";"red";"5.5 Perc";"1 year";"semi-dry";"DOCG";0
4;55;2;"Cheap";"Toblino";"sparkling";"12 Perc";"5 years";"sweet";"No designation";0
4;55;3;"Popular";"La-Vis";"red";"18 Perc";"5 years";"sweet";"No designation";0
4;55;4;"Popular";"Cavit";"rose";"7 Perc";"4 years";"semi-dry";"IGT";1
4;56;1;"Cheap";"Toblino";"red";"12 Perc";"1 year";"dry";"DOC";0
4;56;2;"Luxury";"Toblino";"sparkling";"7 Perc";"5+ years";"semi-sweet";"IGT";0
4;56;3;"Premium";"Toblino";"rose";"12 Perc";"3 years";"semi-sweet";"DOC";1
4;56;4;"Luxury";"Mezzacorona";"sparkling";"5.5 Perc";"4 years";"sweet";"No designation";0
4;57;1;"Cheap";"Toblino";"rose";"18 Perc";"1 year";"sweet";"No designation";0
4;57;2;"Luxury";"La-Vis";"sparkling";"12 Perc";"3 years";"semi-dry";"DOC";0
4;57;3;"Popular";"Toblino";"sparkling";"18 Perc";"2 years";"dry";"No designation";0
4;57;4;"Cheap";"Toblino";"rose";"5.5 Perc";"1 year";"semi-dry";"IGT";1
4;58;1;"Popular";"La-Vis";"sparkling";"5.5 Perc";"5+ years";"sweet";"No designation";0
4;58;2;"Cheap";"La-Vis";"red";"18 Perc";"4 years";"semi-dry";"No designation";1
4;58;3;"Popular";"Toblino";"rose";"18 Perc";"1 year";"semi-dry";"DOCG";0
4;58;4;"Luxury";"Mezzacorona";"sparkling";"18 Perc";"1 year";"dry";"No designation";0
4;59;1;"Luxury";"Toblino";"sparkling";"18 Perc";"1 year";"sweet";"No designation";0
4;59;2;"Luxury";"Toblino";"red";"12 Perc";"4 years";"dry";"DOCG";0
4;59;3;"Premium";"Toblino";"white";"18 Perc";"2 years";"semi-dry";"DOC";0
4;59;4;"Premium";"Mezzacorona";"sparkling";"12 Perc";"5+ years";"dry";"DOCG";1
4;60;1;"Luxury";"Toblino";"red";"12 Perc";"5+ years";"dry";"No designation";0
4;60;2;"Premium";"La-Vis";"sparkling";"5.5 Perc";"1 year";"dry";"DOCG";1
4;60;3;"Cheap";"Toblino";"white";"7 Perc";"1 year";"semi-sweet";"No designation";0
4;60;4;"Cheap";"La-Vis";"red";"7 Perc";"2 years";"semi-dry";"DOCG";0
4;61;1;"Cheap";"Cavit";"rose";"18 Perc";"1 year";"semi-sweet";"DOCG";1
4;61;2;"Popular";"Cavit";"sparkling";"12 Perc";"4 years";"sweet";"No designation";0
4;61;3;"Premium";"Toblino";"rose";"18 Perc";"1 year";"sweet";"IGT";0
4;61;4;"Cheap";"Mezzacorona";"white";"5.5 Perc";"3 years";"semi-dry";"IGT";0
4;62;1;"Premium";"Mezzacorona";"white";"12 Perc";"1 year";"dry";"IGT";1
4;62;2;"Popular";"Toblino";"white";"18 Perc";"1 year";"sweet";"No designation";0
4;62;3;"Cheap";"Cavit";"red";"12 Perc";"1 year";"dry";"IGT";0
4;62;4;"Cheap";"Mezzacorona";"sparkling";"5.5 Perc";"2 years";"sweet";"DOC";0
4;63;1;"Popular";"Toblino";"sparkling";"5.5 Perc";"5+ years";"semi-dry";"DOCG";0
4;63;2;"Popular";"Toblino";"white";"12 Perc";"5 years";"semi-dry";"DOCG";0
4;63;3;"Premium";"La-Vis";"sparkling";"7 Perc";"3 years";"dry";"IGT";1
4;63;4;"Luxury";"Mezzacorona";"red";"7 Perc";"5 years";"sweet";"DOCG";0
4;64;1;"Popular";"Toblino";"sparkling";"7 Perc";"5 years";"sweet";"DOC";0
4;64;2;"Cheap";"La-Vis";"sparkling";"18 Perc";"5+ years";"dry";"IGT";1
4;64;3;"Premium";"Mezzacorona";"sparkling";"12 Perc";"4 years";"dry";"IGT";0
4;64;4;"Premium";"La-Vis";"white";"12 Perc";"1 year";"sweet";"DOC";0
4;65;1;"Popular";"Toblino";"rose";"18 Perc";"1 year";"dry";"DOCG";1
4;65;2;"Cheap";"Mezzacorona";"white";"7 Perc";"2 years";"sweet";"No designation";0
4;65;3;"Luxury";"Cavit";"red";"18 Perc";"3 years";"dry";"DOC";0
4;65;4;"Popular";"Mezzacorona";"sparkling";"5.5 Perc";"5 years";"sweet";"DOCG";0
4;66;1;"Cheap";"Cavit";"red";"12 Perc";"1 year";"semi-sweet";"DOCG";0
4;66;2;"Popular";"La-Vis";"red";"7 Perc";"2 years";"semi-sweet";"DOCG";0
4;66;3;"Cheap";"La-Vis";"rose";"12 Perc";"1 year";"sweet";"DOC";0
4;66;4;"Popular";"Mezzacorona";"rose";"5.5 Perc";"1 year";"semi-sweet";"DOCG";1
4;67;1;"Popular";"Cavit";"white";"18 Perc";"5+ years";"semi-sweet";"DOCG";0
4;67;2;"Luxury";"Cavit";"rose";"18 Perc";"4 years";"dry";"IGT";1
4;67;3;"Luxury";"Cavit";"white";"7 Perc";"2 years";"dry";"No designation";0
4;67;4;"Luxury";"Toblino";"white";"7 Perc";"3 years";"semi-sweet";"DOC";0
4;68;1;"Premium";"La-Vis";"red";"7 Perc";"5 years";"sweet";"DOC";0
4;68;2;"Luxury";"Mezzacorona";"rose";"5.5 Perc";"5 years";"semi-sweet";"No designation";1
4;68;3;"Premium";"Toblino";"sparkling";"7 Perc";"4 years";"sweet";"DOCG";0
4;68;4;"Premium";"Toblino";"white";"7 Perc";"4 years";"semi-dry";"DOCG";0
4;69;1;"Cheap";"Mezzacorona";"sparkling";"7 Perc";"5+ years";"dry";"DOC";0
4;69;2;"Luxury";"Mezzacorona";"white";"5.5 Perc";"5+ years";"semi-dry";"DOC";0
4;69;3;"Premium";"Toblino";"rose";"5.5 Perc";"3 years";"semi-sweet";"DOC";1
4;69;4;"Popular";"Cavit";"sparkling";"5.5 Perc";"2 years";"semi-sweet";"DOC";0
4;70;1;"Premium";"La-Vis";"white";"18 Perc";"5 years";"dry";"DOCG";1
4;70;2;"Luxury";"Mezzacorona";"sparkling";"12 Perc";"3 years";"sweet";"DOCG";0
4;70;3;"Popular";"Cavit";"white";"7 Perc";"3 years";"sweet";"DOCG";0
4;70;4;"Cheap";"Cavit";"sparkling";"12 Perc";"4 years";"dry";"No designation";0
4;71;1;"Premium";"La-Vis";"rose";"7 Perc";"5 years";"semi-dry";"DOCG";0
4;71;2;"Popular";"Cavit";"sparkling";"7 Perc";"4 years";"dry";"IGT";0
4;71;3;"Cheap";"La-Vis";"rose";"7 Perc";"5+ years";"semi-sweet";"DOC";1
4;71;4;"Premium";"La-Vis";"white";"12 Perc";"3 years";"dry";"No designation";0
4;72;1;"Premium";"Mezzacorona";"red";"18 Perc";"1 year";"dry";"IGT";1
4;72;2;"Popular";"La-Vis";"rose";"12 Perc";"4 years";"sweet";"No designation";0
